address,lock return,ref_bonnus,intro_bonnus,total return
0x9406a41d8d845a2fca05f860d33f50c9195bdce3,100553085301498595908,0,0,100553085301498595908
0x75b07e64161ace39d6eab54d25f25410ffd3d458,26461338237236472,0,0,26461338237236472
0xbdb7f183b9684e51abce065ad2ebeb58c53b9705,33076672796545590759,0,0,33076672796545590759
0x1aaea220580bfe9abd2c30a75cd1c5451c6a13b2,745327693682160645107,0,0,745327693682160645107
0xa4ad15c9ee1bce28dec3fad031fc3b56e45928a0,6879947941681482877,0,0,6879947941681482877
0xcbd0edbf33209e309b88c86772de17012d586fd6,4597657518719837115533,0,45976575187198371155,4643634093907035486688
0x67fbbfc36c4276e4855658e4e3310abef7c6fcc0,110255575988485302530,0,1102555759884853025,111358131748370155555
0x6130a038b17f7ee8d28abd54415f2066c0e81b0b,7056356863263059361,0,0,7056356863263059361
0xe7d52be2217cc6178b661e4fe0e9e371ee18b630,793840147117094178,0,0,793840147117094178
0xea8dd9381571d618119912af553ce81c3c0dff12,1280728770682245274196,0,9367313735981711302,1290096084418226985498
0x98a581c72d4b5b47bd6348ea52d17963f68af33e,22051115197697060506,0,220511151976970605,22271626349674031111
0x2ec7947f3ac9aaaa44b53640506cdc9d848d9489,5512778799424265126,0,0,5512778799424265126
0x86486edcb3ebc8f79db2d799b47cb833662740e8,1102555759884853025307,0,0,1102555759884853025307
0xee4c6232735b63796446c837e7f4b8bd299fc844,2646133823723647260,0,26461338237236472,2672595161960883732
0xc5c510ae135b70a12a6be47d0e8ec072e9c62610,2205111519769706050615,0,0,2205111519769706050615
0x787659052e92862f225b139060569083d6dff695,11025557598848530253,0,110255575988485302,11135813174837015555
0x96dc4580e02c10548bc2e170aa7d41725159c5c4,1764089215815764840,0,0,1764089215815764840
0x2298718f8c34adb143bdcc017feae24de4a62653,31312583580729825918,0,0,31312583580729825918
0x58ffe60904be609b4af1b42ce7bfaadfd0030cea,3528178431631529680984,0,35281784316315296809,3563460215947844977793
0x6de754c0816aa1ec98d2ff55ad6ea7d00ab6e131,1764089215815764840,0,0,1764089215815764840
0x5f9f19434824cc539ef0d3c0a386a9707cf2a2ec,8820446079078824202462,0,88204460790788242024,8908650539869612444486
0xea313f37c177d780d5fc9760c5619b4466099a7b,352817843163152968098,0,3528178431631529680,356346021594784497778
0xe1478cbf115c2d6bec1572e0e6a43a2dfadca15a,264613382372364726073,0,0,264613382372364726073
0xa6ab73d38f67c873fc8e0d54c30a25ed4255b5cb,300115677840656993488,0,3001156778406569934,303116834619063563422
0xe68705ee4f07365c31fb7927f7da89dfe710ec5b,551277879942426512653,0,5512778799424265126,556790658741850777779
0x4e65a036fa1df22e6f108ecf256a25d3e6f6ea1d,303000845753123676885,0,3030008457531236768,306030854210654913653
0xcdceff3dcf24d6286f8accab295abd5bd5f2ef11,176408921581576484049,0,0,176408921581576484049
0xb87d9edb23e88bc7c1e6f2cd3aa65fae6397670f,549293279574633777206,0,0,549293279574633777206
0x01734005354d569716291cd1cfbc67f3f56a0b6f,17464483236576071920,0,174644832365760719,17639128068941832639
0xc4b0259cf0252eb3b3cf61f41e055e6db34f644c,900567544673947951070,0,9005675446739479509,909573220120687430579
0x70aecbb415372151c47e4d82a3263b6cc8ea1995,586118641954787868252,0,5861186419547878681,591979828374335746933
0x6a6d6d904812b6d559c18eca37ffe366a6c29d9d,294602899041232728361,0,2946028990412327282,297548928031645055643
0x23c6f263adfb998f16a3d95f9c0d4d2024003156,606405667936669163919,0,6064056679366691639,612469724616035855558
0x880c15b9f264554effd3191010c99ae84b5b4876,8820446079078824202,0,88204460790788242,8908650539869612444
0x33d30dc6eae66f5a5f9ea54f6b54e3ab9cd9ba38,17640892158157648404,0,176408921581576484,17817301079739224888
0x607f625300099cbd4f8c7430f10112075a7102de,1268380146171534920314,0,0,1268380146171534920314
0x2aaaf3e244b493f9f1e1a0ec17ff344109900842,4410223039539412101231,0,44102230395394121012,4454325269934806222243
0x84609c7176b18487a2b09a2bc4e6db9f5b8e8e0e,361792647048615671723,0,3617926470486156716,365410573519101828439
0x926132c52a4a050eabe0bc034b6233a2b37a96b3,176408921581576484049,0,1764089215815764840,178173010797392248889
0xfbb447166a9826ae2cb5fb7ca86a2a66a17147be,174644832365760719208,0,0,174644832365760719208
0x67f40170bf81d44017be25e6596d1df7e67538f8,622944004334941959298,0,6229440043349419592,629173444378291378890
0xea3c39496c2868741ff8a32b49a2943309ead303,776199254958936529816,0,7761992549589365298,783961247508525895114
0x7981889f6f7930a3a9f5cb8425cba6fd4991125c,1675884755024976598467,0,0,1675884755024976598467
0xebda2d5559eec2fcd86a001a99955fdb75e206e4,1675884755024976598467,0,0,1675884755024976598467
0x90755a465d1b711a6b68e81deb3e3e5fbcdc3d0c,368694646105494851662,0,0,368694646105494851662
0x40f657e85bbb5cc7beb402da315c3fe1974442bf,2111614791331470514069,0,21116147913314705140,2132730939244785219209
0x9fe7a3ed1f3734604c365e3d461e4c1644b1e8e2,3034233451203115525646,0,0,3034233451203115525646
0xe6410ecbaa041a5dcde79164ca66de42a8d72bee,529226764744729452147,0,0,529226764744729452147
0x552ec58ec4aa8b5374b042f2995fa857167c99af,5115858725865718037427,0,51158587258657180373,5167017313124375217800
0x234d1f81f8c88d306ac5f7a67b0066a5214b35d5,529226764744729452147,0,5292267647447294521,534519032392176746668
0x24e99405587ec0c52521c39159931b70f546e7d2,8114810392752518266265,0,81148103927525182662,8195958496680043448927
0x5cbe5aeef459fcf20b3811f636ddd33f9aa1641e,1040812637331301255890,0,10408126373313012558,1051220763704614268448
0xa3587c55f1d2f8458cbb70cfb432203ac566fffa,1764089215815764840492,0,17640892158157648404,1781730107973922488896
0x0e5dc416760b2bd2c1ca953e437f7a58798531f1,176408921581576484049,0,1764089215815764840,178173010797392248889
0xd220d187d5cc56ef262fb02f381a06a7bc69f3ee,530463748160264662830,0,5304637481602646628,535768385641867309458
0x2d165e5191ef0674da2637b421a765bdb1f8d346,2434443117825755479879,0,24344431178257554797,2458787549004013034676
0xc49b6c714feaf22b12eb02a01521dab6edd1fcbd,220511151976970605061,0,0,220511151976970605061
0x6b418a0a93532a660fcfdfcbc74078dae1e43dec,3528178431631529680984,0,35281784316315296809,3563460215947844977793
0x504361604c519a16cc19a628f3de1993996f2a7c,2421212448707137243575,0,0,2421212448707137243575
0xc8d5e16e0638a7ed4c30cb92c3b0810d2d1c09ad,7056356863263059361,0,70563568632630593,7126920431895689954
0x2efdb0192db45f3a8bb8510613aff0303911b85b,672382604608178768953,0,0,672382604608178768953
0x028ced475400006c4033d84ee6eb7dc9182d8855,26461338237236472607386,0,0,26461338237236472607386
0xf0a355a5ab3d96a4347e9fe3052ef39357df90d0,59539995634149856102063,0,595399956341498561020,60135395590491354663083
0x215a2a56984df578603f6f9f5a46750efb356894,3969200735585470891107,0,0,3969200735585470891107
0x95f1872c2c63f54072bd42f68beee71e0d6f67d3,176408921581576484049,0,0,176408921581576484049
